"Error","Chunk","Fold","EmotionMeasure","SpecificEmotion","BodilyActivity","ConversationValence","OutputType"
0.716064453125,"1","5","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","5","6emo","Fear_Accuracy","both","pos","observed"
0.633007824420929,"1","5","6emo","Happiness_Accuracy","both","pos","observed"
0.770947277545929,"1","5","6emo","Sadness_Accuracy","both","pos","observed"
0.571533203125,"1","5","6emo","Surprise_Accuracy","both","pos","observed"
3.03826451301575,"1","6","6emo","OverallError","both","pos","observed"
0.382494866847992,"1","6","6emo","Anger_Error","both","pos","observed"
0.379180997610092,"1","6","6emo","Disgust_Error","both","pos","observed"
0,"1","6","6emo","Fear_Error","both","pos","observed"
0.994350135326386,"1","6","6emo","Happiness_Error","both","pos","observed"
0.38436958193779,"1","6","6emo","Sadness_Error","both","pos","observed"
0.897868752479553,"1","6","6emo","Surprise_Error","both","pos","observed"
0.794482409954071,"1","6","6emo","Anger_Accuracy","both","pos","observed"
0.795117199420929,"1","6","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","6","6emo","Fear_Accuracy","both","pos","observed"
0.624853491783142,"1","6","6emo","Happiness_Accuracy","both","pos","observed"
0.793603539466858,"1","6","6emo","Sadness_Accuracy","both","pos","observed"
0.619335949420929,"1","6","6emo","Surprise_Accuracy","both","pos","observed"
3.31005549430847,"1","7","6emo","OverallError","both","pos","observed"
0.530389547348022,"1","7","6emo","Anger_Error","both","pos","observed"
0.50447541475296,"1","7","6emo","Disgust_Error","both","pos","observed"
3.49245944664123e-11,"1","7","6emo","Fear_Error","both","pos","observed"
0.893596470355988,"1","7","6emo","Happiness_Error","both","pos","observed"
0.554748594760895,"1","7","6emo","Sadness_Error","both","pos","observed"
0.826845526695251,"1","7","6emo","Surprise_Error","both","pos","observed"
0.823437511920929,"1","7","6emo","Anger_Accuracy","both","pos","observed"
0.823144555091858,"1","7","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","7","6emo","Fear_Accuracy","both","pos","observed"
0.597607433795929,"1","7","6emo","Happiness_Accuracy","both","pos","observed"
0.823291003704071,"1","7","6emo","Sadness_Accuracy","both","pos","observed"
0.628662109375,"1","7","6emo","Surprise_Accuracy","both","pos","observed"
3.02768111228943,"1","8","6emo","OverallError","both","pos","observed"
0.45697671175003,"1","8","6emo","Anger_Error","both","pos","observed"
0.450740814208984,"1","8","6emo","Disgust_Error","both","pos","observed"
0,"1","8","6emo","Fear_Error","both","pos","observed"
0.705443561077118,"1","8","6emo","Happiness_Error","both","pos","observed"
0.456040769815445,"1","8","6emo","Sadness_Error","both","pos","observed"
0.958479404449463,"1","8","6emo","Surprise_Error","both","pos","observed"
0.784326195716858,"1","8","6emo","Anger_Accuracy","both","pos","observed"
0.784423828125,"1","8","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","8","6emo","Fear_Accuracy","both","pos","observed"
0.663378894329071,"1","8","6emo","Happiness_Accuracy","both","pos","observed"
0.784375011920929,"1","8","6emo","Sadness_Accuracy","both","pos","observed"
0.650488257408142,"1","8","6emo","Surprise_Accuracy","both","pos","observed"
3.41738891601562,"1","9","6emo","OverallError","both","pos","observed"
0.527053475379944,"1","9","6emo","Anger_Error","both","pos","observed"
0.518749177455902,"1","9","6emo","Disgust_Error","both","pos","observed"
0,"1","9","6emo","Fear_Error","both","pos","observed"
0.839165508747101,"1","9","6emo","Happiness_Error","both","pos","observed"
0.523431241512299,"1","9","6emo","Sadness_Error","both","pos","observed"
1.00898933410645,"1","9","6emo","Surprise_Error","both","pos","observed"
0.833886742591858,"1","9","6emo","Anger_Accuracy","both","pos","observed"
0.834033191204071,"1","9","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","9","6emo","Fear_Accuracy","both","pos","observed"
0.551611304283142,"1","9","6emo","Happiness_Accuracy","both","pos","observed"
0.833935558795929,"1","9","6emo","Sadness_Accuracy","both","pos","observed"
0.612451195716858,"1","9","6emo","Surprise_Accuracy","both","pos","observed"
3.49830007553101,"1","10","6emo","OverallError","both","pos","observed"
0.560204088687897,"1","10","6emo","Anger_Error","both","pos","observed"
0.516150891780853,"1","10","6emo","Disgust_Error","both","pos","observed"
0,"1","10","6emo","Fear_Error","both","pos","observed"
0.958173394203186,"1","10","6emo","Happiness_Error","both","pos","observed"
0.509574770927429,"1","10","6emo","Sadness_Error","both","pos","observed"
